feature,importance_gain,importance_split
rmean_7,9686924.643379211,694
item_id,2071913.559659958,8881
rmean_28,1679355.8351840973,715
lag_7,125707.4275560379,192
dow,115740.66930484772,650
month,63512.39391994476,624
sell_price,61288.98393344879,601
lag_28,50786.51366138458,207
dept_id,48224.35334777832,180
store_id,24695.8715133667,315
snap_flag,20638.05184173584,202
lag_56,16355.958062171936,121
is_event,12285.691059112549,84
cat_id,5917.86810874939,68
state_id,5182.959894180298,70
price_change,132.5408992767334,4
is_promo,0.0,0
